artist,track,album_name,album_type,album_date,album_tracks,album_pic,genres,alphaname,pos
Banco Del Mutuo Soccorso,Il giardino del mago,Banco del Mutuo Soccorso,Album,1972-03-21,In volo (02:13)/R.I.P. - Requiescant in Pace (06:41)/Passaggio (01:19)/Metamorfosi (10:53)/Il giardino del mago (18:27)/Traccia (02:04,https://i.scdn.co/image/ab67616d00001e02658878f262517ef47e8cdf44,Progressive Rock/Italian Singer-songwriter/Symphonic Rock/Art Rock,Banco Del Mutuo Soccorso,91.0
Igor Stravinsky,"The Rite of Spring (1913 Version): Adoration of the Earth, Part I: Spring Round Dances",Stravinsky: Le sacre du printemps,Album,1958,"The Rite of Spring (1913 Version): Adoration of the Earth, Part I: Introduction (03:29)/The Rite of Spring (1913 Version): Adoration of the Earth, Part I: The Augurs of Spring - Dances of the Young Girls (03:17)/The Rite of Spring (1913 Version): Adoration of the Earth, Part I: Game of Abduction (01:16)/The Rite of Spring (1913 Version): Adoration of the Earth, Part I: Spring Round Dances (03:41)/The Rite of Spring (1913 Version): Adoration of the Earth, Part I: Games of the Rival Tribes (01:51)/The Rite of Spring (1913 Version): Adoration of the Earth, Part. I: Procession of the Oldest-and-Wisest (00:39)/The Rite of Spring (1913 Version): Adoration of the Earth, Part. I: The Oldest-and-Wisest (00:22)/The Rite of Spring (1913 Version): Adoration of the Earth, Part. I: Dance of the Earth (01:06)/The Rite of Spring (1913 Version): The Sacrifice, Part II: Introduction (05:13)/The Rite of Spring (1913 Version): The Sacrifice, Part II: Mystical Circles of the Young Girls (03:18)/The Rite of Spring (1913 Version): The Sacrifice, Part II: Glorification of the Chosen One (01:30)/The Rite of Spring (1913 Version): The Sacrifice, Part II: The Summoning of the Ancients (00:52)/The Rite of Spring (1913 Version): The Sacrifice, Part II: Ritual Action of the Ancients (03:23)/The Rite of Spring (1913 Version): The Sacrifice, Part II: Sacrificial Dance (04:32",https://i.scdn.co/image/ab67616d00001e029376814e5ece596bd7d0d600,Classical/Neoclassical/Orchestra,"Stravinsky, Igor",305.0
Sun Ra,Lanquidity - Alternate Mix,Lanquidity (Definitive Edition),Album,2021-05-14,Lanquidity - Remastered (08:21)/Where Pathways Meet - Remastered (06:32)/That’s How I Feel - Remastered (08:05)/Twin Stars of Thence - Remastered (09:34)/There Are Other Worlds (They Have Not Told You Of) - Remastered (11:01)/Lanquidity - Alternate Mix (08:20)/Where Pathways Meet - Alternate Mix (06:31)/That’s How I Feel - Alternate Mix (12:10)/Twin Stars of Thence - Alternate Mix (09:51)/There Are Other Worlds (They Have Not Told You Of) - Alternate Mix (10:55,https://i.scdn.co/image/ab67616d00001e026025463556f402c9bc072221,Free Jazz/Jazz/Avant-garde/Hard Bop,Sun Ra,226.0
Grateful Dead,Samson and Delilah - 2014 Remaster,Terrapin Station (2014 Remaster),Album,1977,Estimated Prophet - 2014 Remaster (05:36)/Dancin' in the Streets - 2014 Remaster (03:17)/Passenger - 2014 Remaster (02:48)/Samson and Delilah - 2014 Remaster (03:27)/Sunrise - 2014 Remaster (04:07)/Terrapin Station Medley - 2014 Remaster (16:22,https://i.scdn.co/image/ab67616d00001e020996318f9c63869e92f2a750,Jam Band/Psychedelic Rock/Acid Rock,Grateful Dead,123.0
Jethro Tull,Kelpie - Steven Wilson Stereo Remix,"Stormwatch (Steven Wilson Remix, 40th Anniversary Special Edition)",Album,2020-04-03,North Sea Oil - Steven Wilson Stereo Remix (03:11)/Orion - Steven Wilson Stereo Remix (04:00)/Home - Steven Wilson Stereo Remix (02:45)/Dark Ages - Steven Wilson Stereo Remix (09:11)/Warm Sporran - Steven Wilson Stereo Remix (03:58)/Something's on the Move - Steven Wilson Stereo Remix (04:29)/Old Ghosts - Steven Wilson Stereo Remix (04:23)/Dun Ringill - Steven Wilson Stereo Remix (02:41)/Flying Dutchman - Steven Wilson Stereo Remix (07:43)/Elegy - Steven Wilson Stereo Remix (03:36)/Crossword - Steven Wilson Stereo Remix (03:37)/Kelpie - Steven Wilson Stereo Remix (03:34)/Broadford Bazaar - Steven Wilson Stereo Remix (03:45)/King Henry's Madrigal - Steven Wilson Stereo Remix (03:01)/Urban Apocalypse - Steven Wilson Stereo Remix (04:46)/Man of God - Steven Wilson Stereo Remix (06:32)/Sweet Dream Fanfare - Steven Wilson Stereo Remix (02:30)/Sweet Dream - Live; Steven Wilson Stereo Remix (04:39,https://i.scdn.co/image/ab67616d00001e022b0657d4750375bf11c5ee17,Progressive Rock/Symphonic Rock/Art Rock/Classic Rock,Jethro Tull,534.0
Deep Purple,Wring That Neck - 1998 Remaster,The Book of Taliesyn,Album,1968-10-01,"Listen, Learn, Read On - 2000 Remaster (04:05)/Wring That Neck - 1998 Remaster (05:13)/Kentucky Woman - 1998 Remaster (04:43)/Exposition / We Can Work It Out (Medley) - 2000 Remaster (07:07)/Shield - 2000 Remaster (06:06)/Anthem - 2000 Remaster (06:31)/River Deep, Mountain High - 2000 Remaster (10:12)/Oh No No No - Studio out Take (04:25)/It's All Over (BBC Top Gear Session) (04:14)/Hey Bop A Re Bop (BBC Top Gear Session) (03:31)/Wring That Neck (BBC Top Gear Session) (04:42)/Playground - Remixed Instrumental out Take (04:29",https://i.scdn.co/image/ab67616d00001e021fcce5a7b1a7b4fc4793d421,Hard Rock/Classic Rock/Rock,Deep Purple,47.0
Banco Del Mutuo Soccorso,E Mi Viene Da Pensare,Canto di primavera,Album,1979-01-01,Ciclo (04:21)/Canto Di Primavera (05:40)/Sono La Bestia (04:34)/Niente (04:05)/E Mi Viene Da Pensare (03:20)/Interno Città (06:45)/Lungo Il Margine (05:13)/Circobanda (06:26,https://i.scdn.co/image/ab67616d00001e02c44e39e6e9a27f37a0bf6c21,Progressive Rock/Italian Singer-songwriter/Symphonic Rock/Art Rock,Banco Del Mutuo Soccorso,79.0
Sun Ra,Nuclear War,A Fireside Chat With Lucifer,Single,2023-06-30,Nuclear War (07:44)/Retrospect (05:41)/Makeup (04:56)/A Fireside Chat With Lucifer (20:10,https://i.scdn.co/image/ab67616d00001e0240b360ac6b9ad8abc5aedb7e,Free Jazz/Jazz/Avant-garde/Hard Bop,Sun Ra,0.0
Franco Battiato,Medley Last Summer Dance - Live 2003,Last Summer Dance - Live,Album,2003-10-24,Shackleton - Live 2003 (03:46)/Atlantide - Live 2003 (03:10)/Strani Giorni - Live 2003 (03:44)/Shock In My Town - Live 2003 (03:56)/Impressioni Di Settembre - Live 2003 (03:28)/L'Oceano di Silenzio - Live 2003 (03:59)/Delenda Carthago - Live 2003 (03:19)/E ti vengo a cercare - Live 2003 (03:46)/E' Stato Molto Bello - Live 2003 (03:32)/Il Mantello e La Spiga - Live 2003 (03:57)/Caffè De La Paix - Live 2003 (03:40)/La cura - Live 2003 (04:07)/Accetta il consiglio - Live 2003 (03:37)/L'incantesimo - Live 2003 (03:32)/Auto da Fé - Live 2003 (03:52)/Mesopotamia - Live 2003 (04:21)/Lode All'Inviolato - Live 2003 (03:10)/Magic Shop - Live 2003 (02:38)/Stranizza D'Amuri - Live 2003 (02:13)/La stagione dell'amore - Live 2003 (02:50)/Povera Patria - Live 2003 (03:46)/Medley Last Summer Dance - Live 2003 (08:23)/L'animale - Live 2003 (02:54)/L'era del cinghiale bianco - Live 2003 (03:02)/Cuccuruccuccu - Live 2003 (04:11)/Centro di gravità permanente - Live 2003 (04:19,https://i.scdn.co/image/ab67616d00001e025282eca272437207ee801258,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",768.0
Dissidenten,Morock'n Roll - Unplugged Live,How Long Is Now? (Unplugged Live),Album,2013-03-29,At the Pyramids - Unplugged Live (03:58)/Song 4 a Rainbow - Unplugged Live (08:47)/Morock'n Roll - Unplugged Live (04:57)/Sultan Swing - Unplugged Live (08:40)/Telephone Arab - Unplugged Live (04:48)/All India Radio - Unplugged Live (07:23)/Akaaboune's Homage - Unplugged Live (05:02)/Fata Morgana - Unplugged Live (08:19)/Mani - Unplugged Live (04:46)/Lost Hindu-Tapes - Unplugged Live (12:33)/Jungle Book - Unplugged Live (08:37)/Gun Factory - Unplugged Live (06:10)/Light of Love - Unplugged Live (06:57,https://i.scdn.co/image/ab67616d00001e028c3ab8a8cc8cb10f987adaf5,Krautrock,Dissidenten,83.0
John McLaughlin,Two For Two,Extrapolation,Album,1969-01-01,Extrapolation (03:52)/It's Funny (04:23)/Arjen's Bag (04:11)/Pete The Poet (04:48)/This Is For Us To Share (03:36)/Spectrum (02:45)/Binky's Beam (07:05)/Really You Know (04:25)/Two For Two (03:43)/Peace Piece (01:49,https://i.scdn.co/image/ab67616d00001e020053fd94f966893523750914,Jazz Fusion/Flamenco/Jazz,"McLaughlin, John",177.0
King Crimson,"Level Five (Live in Mexico, July 2017)","Meltdown (Live in Mexico, 2017)",Album,2018-10-19,"Walk On 1 (Live in Mexico, July 2017) (03:46)/Larks' Tongues in Aspic, Pt. One (Live in Mexico, July 2017) (09:28)/Neurotica (Live in Mexico, July 2017) (04:57)/Cirkus (Live in Mexico, July 2017) (07:40)/Dawn Song (Live in Mexico, July 2017) (02:19)/Last Skirmish (Live in Mexico, July 2017) (06:10)/Prince Rupert's Lament (Live in Mexico, July 2017) (02:30)/The Hell Hounds of Krim (Live in Mexico, July 2017) (03:42)/Red (Live in Mexico, July 2017) (06:42)/Fallen Angel (Live in Mexico, July 2017) (06:08)/Islands (Live in Mexico, July 2017) (09:02)/The Talking Drum (Live in Mexico, July 2017) (03:48)/Larks' Tongues in Aspic, Pt. Two (Live in Mexico, July 2017) (07:02)/Walk On 2 (Live in Mexico, July 2017) (00:38)/Indiscipline (Live in Mexico, July 2017) (07:59)/The ConstruKction of Light (Live in Mexico, July 2017) (06:05)/Epitaph (Live in Mexico, July 2017) (08:33)/Banshee Legs Bell Hassle (Live in Mexico, July 2017) (01:40)/Easy Money (Live in Mexico, July 2017) (09:56)/Interlude (Live in Mexico, July 2017) (02:47)/The Letters (Live in Mexico, July 2017) (06:12)/The Sailor's Tale (Live in Mexico, July 2017) (06:24)/CatalytiKc No. 9 (Live in Mexico, July 2017) (01:12)/Meltdown (Live in Mexico, July 2017) (04:22)/Radical Action II (Live in Mexico, July 2017) (02:28)/Level Five (Live in Mexico, July 2017) (07:08)/Starless (Live in Mexico, July 2017) (12:46)/Walk On 3 (Live in Mexico, 2017) (00:43)/Peace - An End (Live in Mexico, July 2017) (01:56)/Pictures of a City (Live in Mexico, July 2017) (08:22)/Devil Dogs Of Tessellation Row (Live in Mexico, July 2017) (03:10)/Fracture (Live in Mexico, July 2017) (11:03)/The Court of the Crimson King (Live in Mexico, July 2017) (07:03)/Heroes (Live in Mexico, July 2017) (04:42)/21st Century Schizoid Man (Live in Mexico, July 2017) (13:13)/Discipline (Live in Europe, July 2018) (05:29)/Moonchild (Live in Europe, July 2018) (02:27)/Tony's Cadenza (Live in Europe, July 2018) (01:20)/Jeremy's Cadenza (Live in Europe, July 2018) (01:06)/Breathless (Live in Europe, July 2018) (04:59)/Cool Jam (Live in Europe, July 2018) (02:31",https://i.scdn.co/image/ab67616d00001e0298c6f770a086b9571a7bc531,Progressive Rock/Art Rock/Symphonic Rock/Psychedelic Rock,King Crimson,1284.0
Steve Reich,Music for 18 Musicians: Section II,Music for 18 Musicians,Album,1998,Music for 18 Musicians: Pulses (05:26)/Music for 18 Musicians: Section I (03:58)/Music for 18 Musicians: Section II (05:13)/Music for 18 Musicians: Section IIIA (03:55)/Music for 18 Musicians: Section IIIB (03:45)/Music for 18 Musicians: Section IV (06:36)/Music for 18 Musicians: Section V (06:48)/Music for 18 Musicians: Section VI (04:54)/Music for 18 Musicians: Section VII (04:19)/Music for 18 Musicians: Section VIII (03:34)/Music for 18 Musicians: Section IX (05:23)/Music for 18 Musicians: Section X (01:50)/Music for 18 Musicians: Section XI (05:44)/Music for 18 Musicians: Pulses II (06:10,https://i.scdn.co/image/ab67616d00001e02cc186669d80a223438a9716a,Minimalism/Avant-garde/Classical,"Reich, Steve",81.0
Ludwig van Beethoven,"Symphony No. 9 in D Minor, Op. 125 ""Choral"": I. Allegro ma non troppo, un poco maestoso",Beethoven: Symphony No.9,Album,2011-01-01,"Namensfeier Overture, Op. 115 (06:05)/King Stephen, Op. 117: Overture (06:01)/Symphony No. 9 in D Minor, Op. 125 ""Choral"": I. Allegro ma non troppo, un poco maestoso (13:31)/Symphony No. 9 in D Minor, Op. 125 ""Choral"": II. Molto vivace (14:16)/Symphony No. 9 in D Minor, Op. 125 ""Choral"": III. Adagio molto e cantabile (12:51)/Symphony No. 9 in D Minor, Op. 125 ""Choral"": IV. Presto - Allegro ma non troppo (22:11",https://i.scdn.co/image/ab67616d00001e02bbaab4c3038c22c411f36c0e,Classical/Classical Piano/Chamber Music,"Beethoven, Ludwig van",78.0
Frank Zappa,Willie The Pimp,Hot Rats,Album,1969-10-10,Peaches En Regalia (03:38)/Willie The Pimp (09:23)/Son Of Mr. Green Genes (08:57)/Little Umbrellas (03:08)/The Gumbo Variations (12:54)/It Must Be A Camel (05:17,https://i.scdn.co/image/ab67616d00001e02ee314008c5ae6e98904ebfe0,Progressive Rock/Art Rock/Jazz Fusion/Psychedelic Rock/Avant-garde/Experimental/Symphonic Rock,"Zappa, Frank",27.0
Zupfgeigenhansel,Ich hab' die Nacht geträumt,Volkslieder I,Album,1976-02-06,"Der arme Bauer /oh ich armer Lothringer Buur (02:08)/Jetzo kommt für unsereinen (02:20)/Es het e Buur es Töchterli (02:53)/Der Selbstmord (02:49)/Ich hab' die Nacht geträumt (03:30)/Lied der Pariser Kommune (01:58)/Es wollt ein Bauer früh aufstehn (03:12)/Es, es, es und es (03:07)/Ich bin Soldat, doch bin ich es nicht gerne (02:22)/Mein Kind wir waren Kinder (03:35)/Stets i Trure (02:51)/Marktsteinlied / Der Arme und der Reiche (02:56)/Mönch und Nonne (03:21)/Als wir jüngst verschütt jegangen waren (02:34)/Wenn alle Brünnlein fließen - Live (05:24)/Die Bauern von St. Pölten - Live (02:35",https://i.scdn.co/image/ab67616d00001e02b3bca28f2ffaddcc7ab6df56,Singer-songwriter/Folk,Zupfgeigenhansel,146.0
Steely Dan,Bad Sneakers,Katy Lied,Album,1975-01-01,Black Friday (03:41)/Bad Sneakers (03:19)/Rose Darling (03:04)/Daddy Don't Live In That New York City No More (03:14)/Doctor Wu (03:54)/Everyone's Gone To The Movies (03:43)/Your Gold Teeth II (04:11)/Chain Lightning (03:00)/Any World (That I'm Welcome To) (03:53)/Throw Back The Little Ones (03:13,https://i.scdn.co/image/ab67616d00001e02d72ce442e7717e75315dd7a1,Classic Rock,Steely Dan,21.0
Dream Theater,Scene One: Regression,"Metropolis, Pt. 2: Scenes from a Memory",Album,1999-01-01,Scene One: Regression (02:06)/Scene Two: I. Overture 1928 (03:37)/Scene Two: II. Strange Déjà Vu (05:12)/Scene Three: I. Through My Words (01:02)/Scene Three: II. Fatal Tragedy (06:49)/Scene Four: Beyond This Life (11:22)/Scene Five: Through Her Eyes (05:29)/Scene Six: Home (12:53)/Scene Seven: I. The Dance of Eternity (06:13)/Scene Seven: II. One Last Time (03:46)/Scene Eight: The Spirit Carries On (06:38)/Scene Nine: Finally Free (11:59,https://i.scdn.co/image/ab67616d00001e02dbb83b10ff18df1213b76ac5,Progressive Metal/Progressive Rock/Metal,Dream Theater,0.0
Jimi Hendrix,Ezy Ryder,The Cry of Love,Album,1971,Freedom (03:26)/Drifting (03:49)/Ezy Ryder (04:09)/Night Bird Flying (03:52)/My Friend (04:37)/Straight Ahead (04:42)/Astro Man (03:36)/Angel (04:25)/In From the Storm (03:43)/Belly Button Window (03:36,https://i.scdn.co/image/ab67616d00001e023fefe39e610cf4ba58caeec7,Psychedelic Rock/Classic Rock/Acid Rock/Blues Rock,"Hendrix, Jimi",33.0
La coscienza di Zeno,Cronovisione,La Coscienza di Zeno,Album,2018-11-13,"Cronovisione (07:36)/Gatto Lupesco (07:23)/Nei Cerchi Del Legno (I. Pinocchio, Ii, V.i.t.r.i.o.l., Iii. L'eterna Spirale Del Destino, Iv. Radici Di Una Coscienza) (13:09)/Il Fattore Precipitante (07:00)/Il Basilisco (06:19)/Un Insolito Baratto Alchemico (07:11)/Acustica Felina (09:37)/Colofonia (08:54)/09 Il Paradiso Degli Altri (09:56)/Homeworld (The Ladder) (09:33",https://i.scdn.co/image/ab67616d00001e02d84f61c669b14f19eb058b62,Progressive Rock,"Coscienza di Zeno, la",0.0
Ozric Tentacles,Plasmoid,Spirals in Hyperspace,Album,2004,Chewier (05:27)/Spirals In Hyperspace (09:51)/Slinky (08:39)/Toka Tola (07:46)/Plasmoid (05:17)/Oakum (09:03)/Akasha (07:27)/Psychic Chasm (08:44)/Zoemetra (07:23)/Chewier - Eat Static Remix (08:48,https://i.scdn.co/image/ab67616d00001e027c3269f11e8cceb84c0e1718,Space Rock/Progressive Rock/Psychedelic Rock/Krautrock/Acid Rock,Ozric Tentacles,79.0
Aerosmith,Magic Touch,Permanent Vacation,Album,1987-01-01,Heart's Done Time (04:42)/Magic Touch (04:37)/Rag Doll (04:25)/Simoriah (03:22)/Dude (Looks Like A Lady) (04:25)/St. John (04:10)/Hangman Jury (05:33)/Girl Keeps Coming Apart (04:13)/Angel (05:08)/Permanent Vacation (04:49)/I'm Down (02:20)/The Movie (04:04,https://i.scdn.co/image/ab67616d00001e02a8a965df6a845b265ee19106,Classic Rock/Rock,Aerosmith,26.0
Maurice Ravel,"Alborada del gracioso, M. 43: Assez vif",Ravel: Ma Mère L'Oye; Boléro etc.,Album,1994-01-01,"Ma mère l'oye, M. 62: Prélude: Très lent (03:28)/Ma mère l'oye, M. 62: I. Danse du rouet et Scène - Allegro (03:41)/Ma mère l'oye, M. 62: II. Pavane de la Belle au bois dormant.Lent - Allegro - Mouvement de Valse modéré (02:21)/Ma mère l'oye, M. 62: III. Les Entretiens de la Belle et de la Bête.Mouvement de Valse modéré (05:00)/Ma mère l'oye, M. 62: IV. Petit poucet.Très modéré (03:19)/Ma mère l'oye, M. 62: Interlude (01:35)/Ma mère l'oye, M. 62: V. Laideronnette, Impératrice des pagodes.Mouvement de marche - Allegro - Très modéré (05:08)/Ma mère l'oye, M. 62: Apothéose: Le jardin féerique. Lent et grave (03:29)/Une barque sur l'océan: Très souple de rythme (07:59)/Alborada del gracioso, M. 43: Assez vif (07:30)/Rhapsodie espagnole, M. 54: I. Prélude à la nuit (04:23)/Rhapsodie espagnole, M. 54: II. Malagueña (02:09)/Rhapsodie espagnole, M. 54: III. Habanera (03:27)/Rhapsodie espagnole, M. 54: IV. Feria (06:40)/Boléro, M. 81 (14:58",https://i.scdn.co/image/ab67616d00001e0219e0e0ef87a08c74f94b25b3,Classical/Classical Piano/Neoclassical,"Ravel, Maurice",674.0
Pearl Jam,Red Bar,Yield,Album,1998-02-17,"Brain of J. (03:00)/Faithful (04:18)/No Way (04:19)/Given to Fly (03:58)/Wishlist (03:26)/Pilate (02:55)/Do the Evolution (03:51)/Red Bar (01:06)/MFC (02:26)/Low Light (03:44)/In Hiding (04:59)/Push Me, Pull Me (02:26)/All Those Yesterdays (07:40",https://i.scdn.co/image/ab67616d00001e02a53f06a45b489abe8f577134,Grunge/Rock,Pearl Jam,130.0
Vangelis,To the Unknown Man,Spiral,Album,1977,Spiral (06:57)/Ballad (08:29)/Dervish D. (05:13)/To the Unknown Man (09:06)/3 + 3 (09:35,https://i.scdn.co/image/ab67616d00001e02d33647ede30ed8e2f796c1cb,New Age,Vangelis,49.0
Orphaned Land,Like Fire to Water - remastered,El Norra Alila (Re-issue 2016) [Remastered],Album,1996-11-04,"Find Your Self, Discover God - remastered (06:15)/Like Fire to Water - remastered (04:46)/The Truth Within - remastered (04:34)/The Path Ahead - remastered (04:16)/A Neverending Way - remastered (01:59)/Takasim - remastered (01:19)/Thee By the Father I Pray - remastered (03:11)/Flawless Belief - remastered (06:46)/Joy - remastered (00:42)/Whisper My Name When You Dream - remastered (04:35)/Shir Hama'alot - remastered (05:02)/El Meod Na'ala - remastered (02:22)/Of Temptation Born - remastered (04:42)/The Evil Urge - remastered (05:57)/Shir Hashirim - remastered (02:00",https://i.scdn.co/image/ab67616d00001e0251b0f030f2d934fd754453a9,Folk Metal/Progressive Metal/Symphonic Metal,Orphaned Land,50.0
The Beach Boys,That's Not Me - Mono,Pet Sounds (Original Mono & Stereo Mix),Album,1966-06-16,"Wouldn't It Be Nice - Mono (02:25)/You Still Believe In Me - Mono (02:34)/That's Not Me - Mono (02:30)/Don't Talk (Put Your Head On My Shoulder) - Mono (02:54)/I'm Waiting For The Day - Mono (03:06)/Let's Go Away For A While - Mono (02:21)/Sloop John B (03:00)/God Only Knows - Mono (02:53)/I Know There's An Answer - Mono (03:11)/Here Today - Mono (02:55)/I Just Wasn't Made For These Times - Mono (03:15)/Pet Sounds - Mono (02:23)/Caroline, No - Mono (02:53)/Hang On To Your Ego - Mono (03:03)/Wouldn't It Be Nice (02:33)/You Still Believe In Me (02:36)/That's Not Me (02:31)/Don't Talk (Put Your Head On My Shoulder) (02:58)/I'm Waiting For The Day (03:06)/Let's Go Away For Awhile (02:24)/Sloop John B (02:59)/God Only Knows - Remastered 1996 (02:54)/I Know There's An Answer (03:18)/Here Today (03:07)/I Just Wasn't Made For These Times (03:21)/Pet Sounds (02:37)/Caroline, No (02:51",https://i.scdn.co/image/ab67616d00001e02bde8dfd1922129f3d9e3732f,Baroque Pop,"Beach Boys, The",74.0
Buffalo Springfield,Rock & Roll Woman - Mono; 2018 Remaster [Mono],What's That Sound? Complete Albums Collection (2018 Remaster),Compilation,2018-06-29,Go and Say Goodbye - Mono; 2018 Remaster [Mono] (02:23)/Sit Down I Think I Love You - Mono; 2018 Remaster [Mono] (02:34)/Leave - Mono; 2018 Remaster [Mono] (02:45)/Nowadays Clancy Can't Even Sing - Mono; 2018 Remaster [Mono] (03:26)/Hot Dusty Roads - Mono; 2018 Remaster [Mono] (02:51)/Everybody's Wrong - Mono; 2018 Remaster [Mono] (02:25)/Flying on the Ground Is Wrong - Mono; 2018 Remaster [Mono] (02:41)/Burned - Mono; 2018 Remaster [Mono] (02:17)/Do I Have to Come Right out and Say It - Mono; 2018 Remaster [Mono] (03:03)/Baby Don't Scold Me - Mono; 2018 Remaster [Mono] (03:06)/Out of My Mind - Mono; 2018 Remaster [Mono] (03:07)/Pay the Price - Mono; 2018 Remaster [Mono] (02:39)/For What It's Worth - Mono; 2018 Remaster [Mono] (02:40)/For What It's Worth - 2018 Remaster (02:39)/Go and Say Goodbye - 2018 Remaster (02:22)/Sit Down I Think I Love You - 2018 Remaster (02:32)/Nowadays Clancy Can't Even Sing - 2018 Remaster (03:27)/Hot Dusty Roads - 2018 Remaster (02:50)/Everybody's Wrong - 2018 Remaster (02:27)/Flying on the Ground Is Wrong - 2018 Remaster (02:42)/Burned - 2018 Remaster (02:16)/Do I Have to Come Right out and Say It - 2018 Remaster (03:06)/Leave - 2018 Remaster (02:45)/Out of My Mind - 2018 Remaster (03:08)/Pay the Price - 2018 Remaster (02:37)/Mr. Soul - Mono; 2018 Remaster [Mono] (02:44)/A Child's Claim to Fame - Mono; 2018 Remaster (02:12)/Everydays - Mono; 2018 Remaster [Mono] (02:42)/Expecting to Fly - Mono; 2018 Remaster [Mono] (03:49)/Bluebird - Mono; 2018 Remaster [Mono] (04:31)/Hung Upside Down - Mono; 2018 Remaster [Mono] (03:28)/Sad Memory - Mono; 2018 Remaster [Mono] (03:05)/Good Time Boy - Mono; 2018 Remaster (02:15)/Rock & Roll Woman - Mono; 2018 Remaster [Mono] (02:48)/Broken Arrow - Mono; 2018 Remaster [Mono] (06:17)/Mr. Soul - 2018 Remaster (02:51)/A Child's Claim to Fame - 2018 Remaster (02:12)/Everydays - 2018 Remaster (02:43)/Expecting to Fly - 2018 Remaster (03:46)/Bluebird - 2018 Remaster (04:29)/Hung Upside Down - 2018 Remaster (03:30)/Sad Memory - 2018 Remaster (03:03)/Good Time Boy - 2018 Remaster (02:15)/Rock & Roll Woman - 2018 Remaster (02:47)/Broken Arrow - 2018 Remaster (06:18)/On the Way Home - 2018 Remaster (02:29)/It's so Hard to Wait - 2018 Remaster (02:06)/Pretty Girl Why - 2018 Remaster (02:26)/Four Days Gone - 2018 Remaster (02:57)/Carefree Country Day - 2018 Remaster (02:38,https://i.scdn.co/image/ab67616d00001e02d39e4bad840b54f21a45c09d,Folk Rock/Country Rock,Buffalo Springfield,1670.0
Béla Fleck and the Flecktones,Circus of Regrets,Tales From The Acoustic Planet,Album,1995-04-07,Up and Running (04:25)/First Light (02:41)/The Great Circle Route (04:20)/Circus of Regrets (04:14)/Three Bridges Home (05:18)/The Landing (03:57)/Arkansas Traveler (03:05)/Backwoods Galaxy (04:23)/In Your Eyes (05:10)/System Seven (04:17)/Cheeseballs in Cowtown (04:53)/Bicyclops (04:20)/Jayme Lynn (05:35)/For Sascha (02:34,https://i.scdn.co/image/ab67616d00001e02caf4f22ea1e36a8cf103bfe6,Newgrass/Bluegrass/Jam Band/Jazz Fusion,Bela Fleck and the Flecktones,74.0
Julian's Treatment,Phantom City,A Time Before This,Album,1970-01-01,"First Oracle (01:30)/The Coming Of The Mule (03:52)/Phantom City (05:18)/The Black Tower (05:01)/Alda, Dark Lady Of The Outer Worlds (03:51)/Altarra, Princess Of The Blue Women (04:13)/Second Oracle (01:38)/Part One: Twin Suns Of Centauri (02:59)/The Terran (04:00)/Fourth From The Sun (02:48)/Strange Things (04:57)/A Time Before This (08:55",https://i.scdn.co/image/ab67616d00001e02117a8eb5310bd4743d4c4acc,Progressive Rock/Krautrock/Psychedelic Rock,Julian's Treatment,52.0
Jethro Tull,A Song for Jeffrey - Mono,Living in the Past,Compilation,1972,A Song for Jeffrey - Mono (03:24)/Love Story (03:07)/A Christmas Song (03:09)/Living in the Past (03:21)/Driving Song (02:43)/Sweet Dream (04:01)/Singing All Day (03:07)/The Witch's Promise (03:47)/Inside (03:52)/Just Trying to Be (01:37)/By Kind Permission Of - Live (10:10)/Dharma for One - Live (09:58)/Wond'ring Again (04:15)/Locomotive Breath (04:26)/Life Is a Long Song (03:18)/Up the 'Pool (03:15)/Dr. Bogenbroom (03:01)/From Later (02:08)/Nursie (01:35,https://i.scdn.co/image/ab67616d00001e02af2da8ad38c25ef67c29f171,Progressive Rock/Symphonic Rock/Art Rock/Classic Rock,Jethro Tull,0.0
Franco Battiato,Chan-son Egocentrique - Spanish Version / Remastered 2020,Ecos De Danzas Sufi (Remastered 2020),Album,1985,"Centro De Gravedad - Remastered 2020 (03:38)/Sentimiento Nuevo - Remastered 2020 (03:55)/No Time, No Space - Spanish Version / Remastered 2020 (03:22)/Los Trenes De Tozeur - Remastered 2020 (03:16)/El Animal - Remastered 2020 (03:20)/Up Patriots To Arms - Spanish Version / Remastered 2020 (04:37)/La Estaciòn De Los Amores - Remastered 2020 (03:46)/Chan-son Egocentrique - Spanish Version / Remastered 2020 (04:11)/Cuccurucucù - Spanish Version / Remastered 2020 (04:07",https://i.scdn.co/image/ab67616d00001e02dc7aac8303b68beceaccb57e,Italian Singer-songwriter/Singer-songwriter,"Battiato, Franco",350.0
Jimi Hendrix,Hey Baby (New Rising Sun),Rainbow Bridge,Album,1971,"Dolly Dagger (04:44)/Earth Blues (04:21)/Pali Gap (05:07)/Room Full of Mirrors (03:35)/Star Spangled Banner - Record Plant, New York, NY, March 18, 1969 (04:10)/Look Over Yonder (03:24)/Hear My Train a Comin' - Live at Berkeley Community Theatre, Berkeley, CA (11:13)/Hey Baby (New Rising Sun) (06:04",https://i.scdn.co/image/ab67616d00001e0220a13bddf394768a532f5547,Psychedelic Rock/Classic Rock/Acid Rock/Blues Rock,"Hendrix, Jimi",268.0
